IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.245.118.70,2083,2083,true,SIN,Asia Pacific,Singapore,70,4.55
8.210.207.214,2087,2087,true,HKG,Asia Pacific,Hong Kong,36,4.54
47.243.139.243,2053,2053,true,HKG,Asia Pacific,Hong Kong,50,4.54
47.76.32.108,2053,2053,true,HKG,Asia Pacific,Hong Kong,63,4.54
8.218.181.189,2087,2087,true,HKG,Asia Pacific,Hong Kong,76,4.54
8.219.229.190,2096,2096,true,SIN,Asia Pacific,Singapore,86,4.54
8.210.89.245,2083,2083,true,HKG,Asia Pacific,Hong Kong,71,4.54
47.237.95.146,2053,2053,true,SIN,Asia Pacific,Singapore,52,4.54
47.236.10.100,2053,2053,true,SIN,Asia Pacific,Singapore,80,4.53
47.243.74.220,2087,2087,true,HKG,Asia Pacific,Hong Kong,73,4.53
47.242.17.250,2053,2053,true,HKG,Asia Pacific,Hong Kong,102,4.52
47.237.95.13,2053,2053,true,SIN,Asia Pacific,Singapore,38,4.52
47.236.93.176,2096,2096,true,SIN,Asia Pacific,Singapore,50,4.51
47.243.255.224,8443,8443,true,HKG,Asia Pacific,Hong Kong,62,4.51
47.242.174.27,2096,2096,true,HKG,Asia Pacific,Hong Kong,48,4.50
47.242.107.109,2053,2053,true,HKG,Asia Pacific,Hong Kong,79,4.50
47.236.180.51,2087,2087,true,SIN,Asia Pacific,Singapore,90,4.49
8.219.86.200,2053,2053,true,SIN,Asia Pacific,Singapore,101,4.49
47.242.176.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,113,4.49
8.218.173.78,2053,2053,true,HKG,Asia Pacific,Hong Kong,69,4.49
47.236.146.249,8443,8443,true,SIN,Asia Pacific,Singapore,35,4.49
47.237.95.146,2096,2096,true,SIN,Asia Pacific,Singapore,53,4.49
47.236.254.120,2083,2083,true,SIN,Asia Pacific,Singapore,69,4.48
8.219.51.211,2083,2083,true,SIN,Asia Pacific,Singapore,92,4.48
47.242.79.71,2053,2053,true,HKG,Asia Pacific,Hong Kong,57,4.47
47.238.0.114,8443,8443,true,HKG,Asia Pacific,Hong Kong,73,4.46
47.245.86.230,2087,2087,true,SIN,Asia Pacific,Singapore,49,4.45
8.217.181.213,2053,2053,true,HKG,Asia Pacific,Hong Kong,94,4.45
8.210.55.134,2087,2087,true,HKG,Asia Pacific,Hong Kong,50,4.45
8.219.126.240,2096,2096,true,SIN,Asia Pacific,Singapore,107,4.45
8.219.1.92,2053,2053,true,SIN,Asia Pacific,Singapore,108,4.44
47.236.170.54,2096,2096,true,SIN,Asia Pacific,Singapore,70,4.43
47.76.94.15,8443,8443,true,HKG,Asia Pacific,Hong Kong,171,4.43
47.76.77.103,8443,8443,true,HKG,Asia Pacific,Hong Kong,291,4.43
47.243.90.180,2096,2096,true,HKG,Asia Pacific,Hong Kong,113,4.43
8.219.42.72,443,443,true,SIN,Asia Pacific,Singapore,73,4.42
8.222.156.242,2053,2053,true,SIN,Asia Pacific,Singapore,71,4.42
47.76.29.115,8443,8443,true,HKG,Asia Pacific,Hong Kong,72,4.42
47.76.26.26,2096,2096,true,HKG,Asia Pacific,Hong Kong,91,4.41
47.242.59.216,2083,2083,true,HKG,Asia Pacific,Hong Kong,68,4.40
47.236.104.11,2096,2096,true,SIN,Asia Pacific,Singapore,61,4.40
8.217.181.213,2053,2053,true,HKG,Asia Pacific,Hong Kong,98,4.40
47.237.95.140,2087,2087,true,SIN,Asia Pacific,Singapore,86,4.39
47.242.107.109,2083,2083,true,HKG,Asia Pacific,Hong Kong,48,4.39
8.217.221.165,8443,8443,true,HKG,Asia Pacific,Hong Kong,345,4.39
47.76.98.98,2096,2096,true,HKG,Asia Pacific,Hong Kong,45,4.39
8.218.201.73,2096,2096,true,HKG,Asia Pacific,Hong Kong,111,4.39
8.217.154.218,2053,2053,true,HKG,Asia Pacific,Hong Kong,83,4.39
47.236.5.223,2053,2053,true,SIN,Asia Pacific,Singapore,43,4.38
8.222.180.86,2087,2087,true,SIN,Asia Pacific,Singapore,78,4.38
8.210.63.130,2096,2096,true,HKG,Asia Pacific,Hong Kong,67,4.38
47.236.165.25,2096,2096,true,SIN,Asia Pacific,Singapore,78,4.38
47.236.232.148,2083,2083,true,SIN,Asia Pacific,Singapore,74,4.37
47.76.32.108,2087,2087,true,HKG,Asia Pacific,Hong Kong,763,4.37
8.222.134.170,2096,2096,true,SIN,Asia Pacific,Singapore,55,4.37
8.222.160.176,2083,2083,true,SIN,Asia Pacific,Singapore,56,4.36
47.237.125.8,2087,2087,true,SIN,Asia Pacific,Singapore,20,4.35
47.243.86.79,2087,2087,true,HKG,Asia Pacific,Hong Kong,60,4.35
47.236.166.131,2083,2083,true,SIN,Asia Pacific,Singapore,73,4.34
8.210.174.156,8443,8443,true,HKG,Asia Pacific,Hong Kong,245,4.34
47.238.35.50,2087,2087,true,HKG,Asia Pacific,Hong Kong,123,4.33
47.76.94.15,2053,2053,true,HKG,Asia Pacific,Hong Kong,46,4.33
47.76.29.115,2087,2087,true,HKG,Asia Pacific,Hong Kong,82,4.32
8.217.49.34,8443,8443,true,HKG,Asia Pacific,Hong Kong,471,4.32
8.219.98.13,2087,2087,true,SIN,Asia Pacific,Singapore,85,4.31
47.237.121.38,2053,2053,true,SIN,Asia Pacific,Singapore,85,4.31
8.210.175.109,2096,2096,true,HKG,Asia Pacific,Hong Kong,38,4.31
8.219.83.71,2053,2053,true,SIN,Asia Pacific,Singapore,74,4.29
47.242.252.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,72,4.28
47.238.43.79,2096,2096,true,HKG,Asia Pacific,Hong Kong,134,4.27
47.236.9.152,2096,2096,true,SIN,Asia Pacific,Singapore,48,4.27
47.236.5.223,2083,2083,true,SIN,Asia Pacific,Singapore,80,4.27
47.245.86.230,2053,2053,true,SIN,Asia Pacific,Singapore,38,4.26
8.219.67.133,2083,2083,true,SIN,Asia Pacific,Singapore,67,4.26
8.210.175.109,2087,2087,true,HKG,Asia Pacific,Hong Kong,36,4.26
47.236.10.100,8443,8443,true,SIN,Asia Pacific,Singapore,78,4.24
47.236.145.85,2087,2087,true,SIN,Asia Pacific,Singapore,55,4.24
47.236.166.131,8443,8443,true,SIN,Asia Pacific,Singapore,105,4.23
47.236.170.54,8443,8443,true,SIN,Asia Pacific,Singapore,92,4.23
8.210.85.222,8443,8443,true,HKG,Asia Pacific,Hong Kong,44,4.23
8.217.251.62,2083,2083,true,HKG,Asia Pacific,Hong Kong,411,4.23
8.219.87.30,2096,2096,true,SIN,Asia Pacific,Singapore,61,4.22
47.76.80.72,2087,2087,true,HKG,Asia Pacific,Hong Kong,56,4.22
47.243.139.85,2053,2053,true,HKG,Asia Pacific,Hong Kong,78,4.22
47.76.98.98,8443,8443,true,HKG,Asia Pacific,Hong Kong,66,4.22
47.250.12.116,80,443,true,KUL,Asia Pacific,Kuala Lumpur,16,4.21
8.222.208.38,2083,2083,true,SIN,Asia Pacific,Singapore,101,4.21
8.219.111.175,2096,2096,true,SIN,Asia Pacific,Singapore,117,4.21
47.236.117.48,443,443,true,SIN,Asia Pacific,Singapore,57,4.21
47.237.125.8,2096,2096,true,SIN,Asia Pacific,Singapore,12,4.20
8.222.156.242,2096,2096,true,SIN,Asia Pacific,Singapore,66,4.20
47.242.79.71,2053,2053,true,HKG,Asia Pacific,Hong Kong,53,4.20
47.250.14.44,80,443,true,KUL,Asia Pacific,Kuala Lumpur,51,4.20
47.237.95.156,2096,2096,true,SIN,Asia Pacific,Singapore,113,4.20
47.242.79.71,2096,2096,true,HKG,Asia Pacific,Hong Kong,71,4.19
47.238.62.215,443,443,true,HKG,Asia Pacific,Hong Kong,91,4.19
47.236.155.210,2053,443,true,SIN,Asia Pacific,Singapore,72,4.18
47.236.63.152,443,443,true,SIN,Asia Pacific,Singapore,71,4.18
47.238.142.35,443,443,true,HKG,Asia Pacific,Hong Kong,54,4.18
47.236.63.152,443,443,true,SIN,Asia Pacific,Singapore,40,4.18
47.76.26.26,2053,2053,true,HKG,Asia Pacific,Hong Kong,70,4.18
8.210.65.1,2087,2087,true,HKG,Asia Pacific,Hong Kong,436,4.17
8.222.162.45,2087,2087,true,SIN,Asia Pacific,Singapore,65,4.17
47.238.164.202,443,443,true,HKG,Asia Pacific,Hong Kong,61,4.17
47.238.164.202,443,443,true,HKG,Asia Pacific,Hong Kong,65,4.17
47.76.225.255,2087,2087,true,HKG,Asia Pacific,Hong Kong,43,4.17
47.245.118.70,8443,8443,true,SIN,Asia Pacific,Singapore,55,4.17
47.238.43.79,2083,2083,true,HKG,Asia Pacific,Hong Kong,87,4.17
47.238.62.215,443,443,true,HKG,Asia Pacific,Hong Kong,77,4.16
47.239.10.224,443,443,true,HKG,Asia Pacific,Hong Kong,45,4.16
47.236.254.120,2083,2083,true,SIN,Asia Pacific,Singapore,37,4.16
8.222.156.242,2096,2096,true,SIN,Asia Pacific,Singapore,49,4.16
47.239.10.224,443,443,true,HKG,Asia Pacific,Hong Kong,68,4.15
8.217.121.207,2053,2053,true,HKG,Asia Pacific,Hong Kong,74,4.15
47.250.13.77,80,443,true,SIN,Asia Pacific,Singapore,16,4.15
47.238.40.58,2087,2087,true,HKG,Asia Pacific,Hong Kong,95,4.15
47.237.81.112,8443,8443,true,SIN,Asia Pacific,Singapore,65,4.15
8.210.43.213,2096,2096,true,HKG,Asia Pacific,Hong Kong,66,4.15
47.236.155.210,2053,443,true,SIN,Asia Pacific,Singapore,96,4.15
8.218.81.14,8443,8443,true,HKG,Asia Pacific,Hong Kong,80,4.15
47.74.4.97,443,443,true,NRT,Asia Pacific,Tokyo,75,4.14
8.219.50.180,2053,2053,true,SIN,Asia Pacific,Singapore,109,4.14
8.222.160.176,8443,8443,true,SIN,Asia Pacific,Singapore,85,4.14
47.236.85.11,8443,443,true,SIN,Asia Pacific,Singapore,80,4.14
47.236.85.11,8443,443,true,SIN,Asia Pacific,Singapore,49,4.14
47.237.95.140,8443,8443,true,SIN,Asia Pacific,Singapore,49,4.13
47.238.35.50,8443,8443,true,HKG,Asia Pacific,Hong Kong,61,4.13
8.219.6.150,2053,2053,true,SIN,Asia Pacific,Singapore,71,4.12
8.210.100.23,2053,2053,true,HKG,Asia Pacific,Hong Kong,49,4.12
47.243.51.171,2053,2053,true,HKG,Asia Pacific,Hong Kong,72,4.11
47.245.126.151,2053,2053,true,SIN,Asia Pacific,Singapore,35,4.11
47.76.33.40,2087,2087,true,HKG,Asia Pacific,Hong Kong,56,4.10
47.237.81.112,2087,2087,true,SIN,Asia Pacific,Singapore,39,4.10
8.218.174.118,2096,2096,true,HKG,Asia Pacific,Hong Kong,881,4.10
8.210.55.134,2053,2053,true,HKG,Asia Pacific,Hong Kong,57,4.10
47.243.139.243,2053,2053,true,HKG,Asia Pacific,Hong Kong,94,4.09
47.76.33.40,2083,2083,true,HKG,Asia Pacific,Hong Kong,311,4.08
47.243.203.119,2083,2083,true,HKG,Asia Pacific,Hong Kong,450,4.08
8.219.161.129,2053,2053,true,SIN,Asia Pacific,Singapore,93,4.08
47.245.86.230,443,443,true,SIN,Asia Pacific,Singapore,98,4.07
8.217.159.210,8443,8443,true,HKG,Asia Pacific,Hong Kong,216,4.06
47.243.234.9,2096,2096,true,HKG,Asia Pacific,Hong Kong,47,4.05
47.76.146.1,2083,2083,true,HKG,Asia Pacific,Hong Kong,201,4.05
47.238.49.85,80,443,true,SIN,Asia Pacific,Singapore,51,4.05
47.239.12.227,80,443,true,SIN,Asia Pacific,Singapore,35,4.05
47.239.13.168,80,443,true,SIN,Asia Pacific,Singapore,75,4.04
47.242.176.237,2083,2083,true,HKG,Asia Pacific,Hong Kong,400,4.04
47.243.186.171,2087,2087,true,HKG,Asia Pacific,Hong Kong,55,4.04
47.242.252.237,2083,2083,true,HKG,Asia Pacific,Hong Kong,65,4.04
8.222.134.170,2087,2087,true,SIN,Asia Pacific,Singapore,68,4.03
47.239.13.168,80,443,true,SIN,Asia Pacific,Singapore,56,4.03
8.222.193.65,2096,2096,true,SIN,Asia Pacific,Singapore,97,4.02
47.243.60.150,8443,8443,true,HKG,Asia Pacific,Hong Kong,69,4.01
8.210.65.1,8443,8443,true,HKG,Asia Pacific,Hong Kong,349,4.00
8.219.120.87,8443,8443,true,SIN,Asia Pacific,Singapore,82,4.00
47.250.13.77,80,443,true,KUL,Asia Pacific,Kuala Lumpur,38,4.00
8.218.143.10,2096,2096,true,HKG,Asia Pacific,Hong Kong,67,3.99
8.210.107.246,2096,2096,true,HKG,Asia Pacific,Hong Kong,473,3.99
8.222.208.38,8443,8443,true,SIN,Asia Pacific,Singapore,72,3.99
47.238.52.160,80,443,true,SIN,Asia Pacific,Singapore,56,3.99
47.238.50.221,80,443,true,SIN,Asia Pacific,Singapore,51,3.99
47.239.12.227,80,443,true,SIN,Asia Pacific,Singapore,39,3.98
47.238.48.153,80,443,true,KUL,Asia Pacific,Kuala Lumpur,51,3.98
47.238.6.58,2083,2083,true,HKG,Asia Pacific,Hong Kong,85,3.97
47.237.95.146,2087,2087,true,SIN,Asia Pacific,Singapore,67,3.97
8.218.132.209,80,443,true,KUL,Asia Pacific,Kuala Lumpur,69,3.97
47.236.164.215,2053,2053,true,SIN,Asia Pacific,Singapore,74,3.96
8.219.98.13,443,443,true,SIN,Asia Pacific,Singapore,54,3.96
8.218.74.119,2087,2087,true,HKG,Asia Pacific,Hong Kong,98,3.96
47.238.52.160,80,443,true,SIN,Asia Pacific,Singapore,94,3.95
47.236.10.182,2053,2053,true,SIN,Asia Pacific,Singapore,85,3.95
47.76.245.164,80,443,true,SIN,Asia Pacific,Singapore,73,3.95
47.238.50.221,80,443,true,SIN,Asia Pacific,Singapore,47,3.95
47.238.52.240,80,443,true,SIN,Asia Pacific,Singapore,67,3.95
47.238.49.85,80,443,true,SIN,Asia Pacific,Singapore,90,3.94
47.238.36.250,80,443,true,KUL,Asia Pacific,Kuala Lumpur,76,3.94
47.242.171.94,2083,2083,true,HKG,Asia Pacific,Hong Kong,420,3.94
47.76.243.157,80,443,true,SIN,Asia Pacific,Singapore,60,3.93
47.245.126.151,2087,2087,true,SIN,Asia Pacific,Singapore,56,3.93
47.238.44.224,80,443,true,SIN,Asia Pacific,Singapore,113,3.92
8.222.214.231,2083,2083,true,SIN,Asia Pacific,Singapore,199,3.92
47.238.36.250,80,443,true,KUL,Asia Pacific,Kuala Lumpur,84,3.91
8.219.97.50,2087,2087,true,SIN,Asia Pacific,Singapore,68,3.91
47.243.169.63,2083,2083,true,HKG,Asia Pacific,Hong Kong,76,3.90
47.243.139.243,8443,8443,true,HKG,Asia Pacific,Hong Kong,71,3.90
47.76.245.164,80,443,true,SIN,Asia Pacific,Singapore,57,3.89
47.243.203.119,2053,2053,true,HKG,Asia Pacific,Hong Kong,618,3.89
47.250.57.45,80,443,true,SIN,Asia Pacific,Singapore,52,3.89
47.243.70.186,2087,2087,true,HKG,Asia Pacific,Hong Kong,82,3.88
47.237.95.156,2053,2053,true,SIN,Asia Pacific,Singapore,107,3.88
47.236.180.51,2053,2053,true,SIN,Asia Pacific,Singapore,85,3.88
47.76.254.36,80,443,true,SIN,Asia Pacific,Singapore,97,3.88
47.237.95.140,2053,2053,true,SIN,Asia Pacific,Singapore,83,3.88
47.236.10.182,2096,2096,true,SIN,Asia Pacific,Singapore,55,3.87
47.238.36.145,80,443,true,SIN,Asia Pacific,Singapore,69,3.87
47.76.94.15,2096,2096,true,HKG,Asia Pacific,Hong Kong,457,3.86
8.219.114.201,8443,8443,true,SIN,Asia Pacific,Singapore,83,3.86
47.242.54.157,2087,2087,true,HKG,Asia Pacific,Hong Kong,407,3.84
47.250.12.116,80,443,true,KUL,Asia Pacific,Kuala Lumpur,58,3.83
8.217.145.40,8443,8443,true,HKG,Asia Pacific,Hong Kong,728,3.83
8.219.4.122,2096,2096,true,SIN,Asia Pacific,Singapore,37,3.82
8.218.8.142,2053,2053,true,HKG,Asia Pacific,Hong Kong,398,3.81
47.242.79.71,2096,2096,true,HKG,Asia Pacific,Hong Kong,76,3.81
8.218.146.204,2087,2087,true,HKG,Asia Pacific,Hong Kong,478,3.81
47.242.17.250,8443,8443,true,HKG,Asia Pacific,Hong Kong,496,3.80
8.219.110.81,2087,2087,true,SIN,Asia Pacific,Singapore,83,3.80
47.237.95.13,2083,2083,true,SIN,Asia Pacific,Singapore,28,3.80
8.218.207.169,2087,2087,true,HKG,Asia Pacific,Hong Kong,313,3.79
47.245.33.33,443,443,true,NRT,Asia Pacific,Tokyo,72,3.79
47.238.36.145,80,443,true,SIN,Asia Pacific,Singapore,100,3.79
47.237.95.140,2083,2083,true,SIN,Asia Pacific,Singapore,65,3.78
47.238.0.114,2053,2053,true,HKG,Asia Pacific,Hong Kong,135,3.78
47.250.36.113,80,443,true,SIN,Asia Pacific,Singapore,32,3.78
47.238.138.232,80,443,true,CGK,Asia Pacific,Jakarta,54,3.77
47.238.35.50,2083,2083,true,HKG,Asia Pacific,Hong Kong,94,3.77
47.250.44.26,80,443,true,SIN,Asia Pacific,Singapore,66,3.76
8.210.21.65,2053,2053,true,HKG,Asia Pacific,Hong Kong,39,3.74
47.250.50.53,80,443,true,KUL,Asia Pacific,Kuala Lumpur,41,3.74
47.242.171.94,2053,2053,true,HKG,Asia Pacific,Hong Kong,435,3.73
8.210.245.224,2053,2053,true,HKG,Asia Pacific,Hong Kong,107,3.73
8.210.21.65,2087,2087,true,HKG,Asia Pacific,Hong Kong,64,3.73
47.237.81.112,2096,2096,true,SIN,Asia Pacific,Singapore,93,3.73
47.245.126.151,2087,2087,true,SIN,Asia Pacific,Singapore,6,3.73
47.243.255.224,2083,2083,true,HKG,Asia Pacific,Hong Kong,43,3.73
47.242.155.183,2096,2096,true,HKG,Asia Pacific,Hong Kong,86,3.72
8.210.146.108,2096,2096,true,HKG,Asia Pacific,Hong Kong,493,3.72
8.219.229.190,2053,2053,true,SIN,Asia Pacific,Singapore,123,3.72
8.218.181.189,2096,2096,true,HKG,Asia Pacific,Hong Kong,69,3.72
8.219.200.145,8443,8443,true,SIN,Asia Pacific,Singapore,89,3.71
47.242.17.250,2083,2083,true,HKG,Asia Pacific,Hong Kong,84,3.71
47.76.192.24,2053,2053,true,HKG,Asia Pacific,Hong Kong,59,3.71
8.222.137.192,2083,2083,true,SIN,Asia Pacific,Singapore,64,3.70
47.236.167.231,2083,2083,true,SIN,Asia Pacific,Singapore,76,3.70
47.238.35.50,2053,2053,true,HKG,Asia Pacific,Hong Kong,82,3.69
47.250.14.44,80,443,true,KUL,Asia Pacific,Kuala Lumpur,50,3.69
47.242.125.241,2096,2096,true,HKG,Asia Pacific,Hong Kong,74,3.68
47.243.90.180,2053,2053,true,HKG,Asia Pacific,Hong Kong,127,3.68
47.76.32.108,8443,8443,true,HKG,Asia Pacific,Hong Kong,131,3.68
47.243.60.150,2096,2096,true,HKG,Asia Pacific,Hong Kong,68,3.68
47.236.80.110,8443,8443,true,SIN,Asia Pacific,Singapore,47,3.67
47.243.27.217,2087,2087,true,HKG,Asia Pacific,Hong Kong,934,3.67
47.238.44.224,80,443,true,SIN,Asia Pacific,Singapore,86,3.67
47.242.94.48,443,443,true,HKG,Asia Pacific,Hong Kong,58,3.67
8.210.164.75,2053,2053,true,HKG,Asia Pacific,Hong Kong,51,3.66
8.217.181.213,2087,2087,true,HKG,Asia Pacific,Hong Kong,97,3.66
8.219.84.214,2096,2096,true,SIN,Asia Pacific,Singapore,104,3.66
47.243.139.85,2096,2096,true,HKG,Asia Pacific,Hong Kong,58,3.65
47.242.202.230,2083,2083,true,HKG,Asia Pacific,Hong Kong,54,3.64
8.218.81.14,2053,2053,true,HKG,Asia Pacific,Hong Kong,41,3.64
47.236.80.110,2053,2053,true,SIN,Asia Pacific,Singapore,55,3.64
8.218.48.92,2083,2083,true,HKG,Asia Pacific,Hong Kong,58,3.63
8.217.193.25,2053,2053,true,HKG,Asia Pacific,Hong Kong,927,3.63
8.217.159.210,2096,2096,true,HKG,Asia Pacific,Hong Kong,62,3.63
47.236.145.85,8443,8443,true,SIN,Asia Pacific,Singapore,55,3.63
8.218.1.163,8443,8443,true,HKG,Asia Pacific,Hong Kong,74,3.62
8.218.74.119,2096,2096,true,HKG,Asia Pacific,Hong Kong,74,3.61
47.237.100.206,2053,2053,true,SIN,Asia Pacific,Singapore,75,3.61
8.210.245.224,2053,2053,true,HKG,Asia Pacific,Hong Kong,628,3.61
47.242.54.157,2096,2096,true,HKG,Asia Pacific,Hong Kong,819,3.60
47.237.121.38,2096,2096,true,SIN,Asia Pacific,Singapore,67,3.60
8.218.53.110,2087,2087,true,HKG,Asia Pacific,Hong Kong,60,3.60
47.76.94.15,2083,2083,true,HKG,Asia Pacific,Hong Kong,91,3.59
8.210.192.93,2096,2096,true,HKG,Asia Pacific,Hong Kong,489,3.59
8.218.11.90,2087,2087,true,HKG,Asia Pacific,Hong Kong,650,3.59
47.242.54.157,8443,8443,true,HKG,Asia Pacific,Hong Kong,87,3.59
8.210.119.11,2083,2083,true,HKG,Asia Pacific,Hong Kong,60,3.59
8.218.22.210,8443,8443,true,HKG,Asia Pacific,Hong Kong,171,3.58
47.76.178.146,2083,2083,true,HKG,Asia Pacific,Hong Kong,40,3.58
8.210.66.190,2087,2087,true,HKG,Asia Pacific,Hong Kong,455,3.57
8.218.53.110,2096,2096,true,HKG,Asia Pacific,Hong Kong,86,3.57
8.219.142.191,2053,2053,true,SIN,Asia Pacific,Singapore,92,3.57
8.222.137.192,2096,2096,true,SIN,Asia Pacific,Singapore,100,3.56
47.250.149.42,80,443,true,SIN,Asia Pacific,Singapore,46,3.54
47.76.77.103,2053,2053,true,HKG,Asia Pacific,Hong Kong,290,3.54
8.210.65.1,2083,2083,true,HKG,Asia Pacific,Hong Kong,402,3.54
8.222.183.242,8443,8443,true,SIN,Asia Pacific,Singapore,103,3.53
8.217.159.210,2053,2053,true,HKG,Asia Pacific,Hong Kong,59,3.53
8.222.214.231,2053,2053,true,SIN,Asia Pacific,Singapore,102,3.52
47.238.6.58,2096,2096,true,HKG,Asia Pacific,Hong Kong,110,3.51
8.210.66.190,2053,2053,true,HKG,Asia Pacific,Hong Kong,717,3.51
47.238.35.50,2096,2096,true,HKG,Asia Pacific,Hong Kong,127,3.49
8.217.164.10,8443,8443,true,HKG,Asia Pacific,Hong Kong,74,3.49
8.210.89.245,2096,2096,true,HKG,Asia Pacific,Hong Kong,72,3.48
8.210.42.171,2083,2083,true,HKG,Asia Pacific,Hong Kong,62,3.47
47.243.203.119,8443,8443,true,HKG,Asia Pacific,Hong Kong,676,3.47
8.210.174.156,2096,2096,true,HKG,Asia Pacific,Hong Kong,56,3.45
8.217.127.73,8443,8443,true,HKG,Asia Pacific,Hong Kong,67,3.45
8.210.112.235,443,443,true,HKG,Asia Pacific,Hong Kong,41,3.45
8.218.65.237,2087,2087,true,HKG,Asia Pacific,Hong Kong,526,3.43
8.218.22.210,2096,2096,true,HKG,Asia Pacific,Hong Kong,94,3.43
47.237.82.15,2083,2083,true,SIN,Asia Pacific,Singapore,64,3.42
47.236.93.176,2083,2083,true,SIN,Asia Pacific,Singapore,61,3.42
8.219.194.170,2096,2096,true,SIN,Asia Pacific,Singapore,126,3.42
8.218.8.142,8443,8443,true,HKG,Asia Pacific,Hong Kong,400,3.40
8.222.165.117,2083,2083,true,SIN,Asia Pacific,Singapore,69,3.39
47.76.32.108,2096,2096,true,HKG,Asia Pacific,Hong Kong,74,3.39
8.217.193.25,2087,2087,true,HKG,Asia Pacific,Hong Kong,361,3.38
47.250.36.83,80,443,true,SIN,Asia Pacific,Singapore,56,3.38
8.222.179.231,8443,8443,true,SIN,Asia Pacific,Singapore,48,3.37
47.242.174.27,2083,2083,true,HKG,Asia Pacific,Hong Kong,50,3.36
47.243.183.127,2096,2096,true,HKG,Asia Pacific,Hong Kong,642,3.35
8.210.174.156,2083,2083,true,HKG,Asia Pacific,Hong Kong,589,3.35
47.242.176.237,2096,2096,true,HKG,Asia Pacific,Hong Kong,308,3.35
8.218.174.118,2053,2053,true,HKG,Asia Pacific,Hong Kong,834,3.35
8.217.49.34,2053,2053,true,HKG,Asia Pacific,Hong Kong,665,3.35
8.219.193.202,8443,8443,true,SIN,Asia Pacific,Singapore,71,3.34
8.218.136.25,2096,2096,true,HKG,Asia Pacific,Hong Kong,82,3.34
8.218.173.78,2087,2087,true,HKG,Asia Pacific,Hong Kong,105,3.34
8.217.181.213,8443,8443,true,HKG,Asia Pacific,Hong Kong,71,3.34
47.243.186.171,2096,2096,true,HKG,Asia Pacific,Hong Kong,88,3.34
47.242.155.183,2053,2053,true,HKG,Asia Pacific,Hong Kong,41,3.33
8.210.192.93,2087,2087,true,HKG,Asia Pacific,Hong Kong,363,3.32
47.243.139.85,2083,2083,true,HKG,Asia Pacific,Hong Kong,78,3.32
47.236.170.54,2053,2053,true,SIN,Asia Pacific,Singapore,85,3.32
47.243.86.79,8443,8443,true,HKG,Asia Pacific,Hong Kong,90,3.31
47.242.54.157,2053,2053,true,HKG,Asia Pacific,Hong Kong,700,3.31
8.219.67.133,2053,2053,true,SIN,Asia Pacific,Singapore,32,3.30
8.217.159.210,2087,2087,true,HKG,Asia Pacific,Hong Kong,200,3.29
47.242.119.104,2083,2083,true,HKG,Asia Pacific,Hong Kong,75,3.29
47.242.202.230,2087,2087,true,HKG,Asia Pacific,Hong Kong,360,3.28
8.222.237.131,2083,2083,true,SIN,Asia Pacific,Singapore,80,3.28
47.243.139.243,2083,2083,true,HKG,Asia Pacific,Hong Kong,116,3.27
8.210.3.24,2087,2087,true,HKG,Asia Pacific,Hong Kong,234,3.26
8.218.143.10,2096,2096,true,HKG,Asia Pacific,Hong Kong,82,3.26
47.237.95.140,2096,2096,true,SIN,Asia Pacific,Singapore,68,3.25
47.238.40.58,2053,2053,true,HKG,Asia Pacific,Hong Kong,71,3.25
8.222.136.247,2096,2096,true,SIN,Asia Pacific,Singapore,106,3.25
47.243.234.9,2087,2087,true,HKG,Asia Pacific,Hong Kong,63,3.25
47.243.67.28,2096,2096,true,HKG,Asia Pacific,Hong Kong,72,3.24
8.217.164.10,2053,2053,true,HKG,Asia Pacific,Hong Kong,52,3.24
8.222.193.65,2087,2087,true,SIN,Asia Pacific,Singapore,72,3.24
8.218.65.237,2083,2083,true,HKG,Asia Pacific,Hong Kong,40,3.24
47.236.17.193,2087,2087,true,SIN,Asia Pacific,Singapore,52,3.24
47.243.5.154,2083,2083,true,HKG,Asia Pacific,Hong Kong,76,3.23
8.217.164.10,8443,8443,true,HKG,Asia Pacific,Hong Kong,410,3.23
47.76.26.26,2083,2083,true,HKG,Asia Pacific,Hong Kong,63,3.22
8.210.192.93,2087,2087,true,HKG,Asia Pacific,Hong Kong,490,3.22
47.250.157.38,80,443,true,KUL,Asia Pacific,Kuala Lumpur,33,3.22
47.236.102.102,2053,2053,true,SIN,Asia Pacific,Singapore,53,3.22
8.219.248.47,2096,2096,true,SIN,Asia Pacific,Singapore,55,3.22
47.236.93.176,2087,2087,true,SIN,Asia Pacific,Singapore,78,3.21
8.219.98.13,8443,8443,true,SIN,Asia Pacific,Singapore,68,3.21
47.76.94.15,2087,2087,true,HKG,Asia Pacific,Hong Kong,96,3.20
47.76.49.246,2083,2083,true,HKG,Asia Pacific,Hong Kong,673,3.20
8.210.174.156,2096,2096,true,HKG,Asia Pacific,Hong Kong,55,3.20
8.219.114.201,2087,2087,true,SIN,Asia Pacific,Singapore,114,3.19
8.210.245.224,2083,2083,true,HKG,Asia Pacific,Hong Kong,243,3.19
47.90.141.204,443,443,true,LAX,North America,Los Angeles,224,3.19
47.236.118.216,8443,8443,true,SIN,Asia Pacific,Singapore,59,3.19
